location,total_cases,population,Infection_Rate
Saint Kitts and Nevis,6598,47681,13.8377970260690841
Antigua and Barbuda,9106,93772,9.7107878684468711
Puerto Rico,1106985,3252412,34.0358171105013756
Finland,1465256,5540745,26.4451080134530645
Sao Tome and Principe,6437,227393,2.8307819501919584
Martinique,229364,367512,62.4099349136898931
Falkland Islands,1923,3801,50.5919494869771113
Rwanda,133194,13776702,0.9668061340079796
Bahrain,696614,1472237,47.3167024059305669
South Korea,30773460,51815808,59.3900996390908350
Eswatini,74323,1201680,6.1849244391185673
Northern Mariana Islands,13748,49574,27.7322790172267721
Gambia,12598,2705995,0.4655588794509968
Liberia,8090,5302690,0.1525640759689893
Guatemala,1243484,17843914,6.9686729043863359
Andorra,47917,79843,60.0140275290257130
Vietnam,11527210,98186856,11.7400744555870085
Saint Barthelemy,5467,10994,49.7271238857558668
New Zealand,2206394,5185289,42.5510323532593844
Angola,105316,35588996,0.2959229307845605
Nauru,5393,12691,42.4946812701914743
Uganda,170491,47249588,0.3608306595181317
Monaco,16164,36491,44.2958537721629991
Egypt,515882,110990096,0.4648000304459598
Kyrgyzstan,206805,6630621,3.1189386333497270
Mali,33107,22593598,0.1465326593843088
Scotland,NULL,5466000,NULL
Azerbaijan,829420,10358078,8.0074701117330841
Italy,25673442,59037472,43.4866892674537284
Brazil,37204677,215313504,17.2793049710435254
Guinea-Bissau,9230,2105580,0.4383590269664416
Democratic Republic of Congo,95895,99010216,0.0968536418504531
Bermuda,18849,64207,29.3566122073917174
Netherlands,8608123,17564020,49.0099817695493401
Palau,5997,18084,33.1619110816191108
Namibia,171222,2567024,6.6700584022588024
Greenland,11971,56494,21.1898608701809042
Jordan,1746997,11285875,15.4794998172494379
Cameroon,124741,27914542,0.4468674427830483
Belarus,994037,9534956,10.4251870695575313
Madagascar,68049,29611718,0.2298042957183369
Marshall Islands,15723,41593,37.8020339961051138
Hong Kong,NULL,7488863,NULL
Cayman Islands,31472,68722,45.7961060504641891
Faeroe Islands,34658,53117,65.2484138787958657
Guadeloupe,202058,395762,51.0554323052743821
Wales,NULL,3170000,NULL
Bolivia,1195651,12224114,9.7810851567647357
Malaysia,5047040,33938216,14.8712589960532987
San Marino,23798,33690,70.6381715642623924
Sri Lanka,672068,21832150,3.0783408871778547
Western Sahara,NULL,576005,NULL
Gibraltar,20462,32677,62.6189674694739419
Indonesia,6744873,275501344,2.4482178206724102
Jamaica,154538,2827382,5.4657630274225414
Germany,38338298,83369840,45.9858121354197153
Uzbekistan,251839,34627648,0.7272772323433575
Philippines,4080182,115559008,3.5308212406946242
Lithuania,1313445,2750058,47.7606290485509760
Cuba,1112789,11212198,9.9248068933495466
England,NULL,56550000,NULL
Iceland,209191,372903,56.0979664953084314
Senegal,88970,17316452,0.5137888523584392
Saint Martin (French part),12277,31816,38.5875031430726678
Barbados,106798,281646,37.9192319436455693
United States Virgin Islands,24863,99479,24.9932146483177354
Turks and Caicos Islands,6565,45726,14.3572584525215414
Guernsey,35235,63329,55.6380173380283914
Kuwait,665122,4268886,15.5806924804269779
Cyprus,654714,896007,73.0701880677271495
Hungary,2198461,9967304,22.0567266735317795
Malawi,88616,20405318,0.4342789463021356
Switzerland,4396055,8740471,50.2954017008923203
United States,102697566,338289856,30.3578615138847084
Estonia,616478,1326064,46.4893097165747656
Algeria,271569,44903228,0.6047872549385536
Palestine,703228,5250076,13.3946251444740990
Aruba,44082,106459,41.4074902074977221
Comoros,9080,836783,1.0851080865648561
Ecuador,1059009,18001002,5.8830558432247272
Nigeria,266660,218541216,0.1220181734506318
Samoa,16675,222390,7.4980889428481496
Curacao,45787,191173,23.9505578716659779
North Macedonia,347492,2093606,16.5977743663325382
El Salvador,201785,6336393,3.1845404791022274
Malta,118004,533293,22.1274233863935960
Mongolia,1007911,3398373,29.6586337050111921
Bahamas,37491,409989,9.1443916788011386
Bosnia and Herzegovina,402076,3233530,12.4345838758261095
Lebanon,1234352,5489744,22.4846914537362762
Montenegro,289292,627082,46.1330416117828290
Ethiopia,500444,123379928,0.4056121673210897
Iraq,2465545,44496124,5.5410331920146573
Saudi Arabia,832709,36408824,2.2871076528041664
American Samoa,8324,44295,18.7921887346201603
Chad,7688,17723312,0.0433778968626180
Laos,218033,7529477,2.8957256925016173
Macao,NULL,695180,NULL
Australia,11077631,26177410,42.3175210992989757
Kosovo,273621,1782115,15.3537229640062510
Mauritius,297262,1299478,22.8754930826070160
Belize,70782,405285,17.4647470298678708
United Kingdom,24286411,67508936,35.9751055771342626
Mexico,7527885,127504120,5.9040327481182569
Albania,333808,2842318,11.7442172198888372
Myanmar,634076,54179312,1.1703286302343596
Sierra Leone,7762,8605723,0.0901957918004100
Sweden,2701192,10549349,25.6052956443094261
Honduras,472439,10432858,4.5283756378165983
Kenya,342970,54027484,0.6348065366138464
Nicaragua,15682,6948395,0.2256924081028784
Ukraine,5445979,39701744,13.7172286436585758
Trinidad and Tobago,190735,1531043,12.4578473628761570
Liechtenstein,21458,39355,54.5242027696607801
China,99238143,1425887360,6.9597463154452817
Argentina,10044957,45510324,22.0718204511134660
Fiji,68911,929769,7.4116258984758580
Solomon Islands,24575,724272,3.3930622749464290
Reunion,494595,974062,50.7765419449685954
Armenia,448151,2780472,16.1178030204943621
Kiribati,5014,131237,3.8205688944428782
Serbia,2515136,6871547,36.6021799749023037
Peru,4491653,34049588,13.1915046960333265
Czechia,4631804,10493990,44.1376826164309286
British Virgin Islands,7305,31332,23.3148219073152049
Vatican,26,808,3.2178217821782178
Saint Helena,2166,5401,40.1036845028698389
Libya,507206,6812344,7.4453961808152965
Burkina Faso,22056,22673764,0.0972754237011552
India,44707525,1417173120,3.1546975008953035
Cote d'Ivoire,88299,28160548,0.3135556879077779
Maldives,185771,523798,35.4661529826383453
New Caledonia,80032,289959,27.6011436099586493
Croatia,1270513,4030361,31.5235533491913007
Jersey,66391,110796,59.9218383335138453
Wallis and Futuna,3427,11596,29.5532942393928941
Tuvalu,2779,11335,24.5169827966475518
Isle of Man,38008,84534,44.9617905221567653
Botswana,329812,2630300,12.5389499296658176
Dominica,15760,72758,21.6608482915968004
Greece,5951892,10384972,57.3125474002240930
Austria,6024875,8939617,67.3952250974510429
United Arab Emirates,1056485,9441138,11.1902293981933110
Equatorial Guinea,17130,1674916,1.0227378567044556
Russia,22603646,144713312,15.6196038136422446
Israel,4812797,9449000,50.9344586728754366
Uruguay,1036159,3422796,30.2722978523990328
Zimbabwe,264511,16320539,1.6207246586647659
Qatar,498523,2695131,18.4971713805377178
French Guiana,98041,304568,32.1901841296524914
Syria,57423,22125242,0.2595361442826252
Tonga,16814,106867,15.7335753787418006
Tokelau,5,1893,0.2641310089804543
Poland,6491417,39857144,16.2867088519940114
Pitcairn,4,47,8.5106382978723404
Suriname,82467,618046,13.3431815754814367
Canada,4625842,38454328,12.0294443839975568
Bulgaria,1299557,6781955,19.1619820538473051
Afghanistan,210181,41128772,0.5110315474529607
Montserrat,1403,4413,31.7924314525266259
Central African Republic,15367,5579148,0.2754363211013581
Togo,39443,8848700,0.4457490930871201
Brunei,283345,449002,63.1055095522959809
Burundi,53686,12889583,0.4165068800131083
Saint Vincent and the Grenadines,9593,103959,9.2276762954626343
Cape Verde,63260,593162,10.6648773859417832
Sudan,63922,46874200,0.1363692607020493
Guyana,73114,808727,9.0406280487729481
South Sudan,18368,10913172,0.1683103684245057
Slovenia,1338718,2119843,63.1517522759940241
Sint Maarten (Dutch part),11023,44192,24.9434286748732802
Haiti,34202,11585003,0.2952265096521770
Tunisia,1151593,12356116,9.3200241888308591
Moldova,617750,3272993,18.8741619673491511
Mayotte,42007,326113,12.8811178947174752
Latvia,976768,1850654,52.7796119642029250
Niue,747,1952,38.2684426229508197
Ireland,1706176,5023108,33.9665402376377335
Slovakia,1865182,5643455,33.0503565634881469
Mozambique,233334,32969520,0.7077264091196960
Gabon,48981,2388997,2.0502746550121243
Somalia,27334,17597508,0.1553288113294223
Guinea,38280,13859349,0.2762034493827957
Thailand,4728632,71697024,6.5952974561398811
Norway,1480654,5434324,27.2463327545431594
France,38677413,67813000,57.0353958680488992
Grenada,19680,125459,15.6863995408858671
Benin,27999,13352864,0.2096853528950793
Northern Cyprus,NULL,382836,NULL
Luxembourg,319599,647601,49.3512208906409965
Dominican Republic,660937,11228821,5.8860765524715373
Belgium,4767730,11655923,40.9039249830322318
Japan,33421785,123951696,26.9635560291163745
Bhutan,62648,782457,8.0065741631808521
Turkmenistan,NULL,6430777,NULL
Morocco,1272622,37457976,3.3974660029682330
Tajikistan,17786,9952789,0.1787036779338937
Georgia,1833502,3744385,48.9667061480056137
Yemen,11945,33696612,0.0354486676583391
Spain,13790580,47558632,28.9970073150968682
Oman,399449,4576300,8.7286454122325896
Saint Lucia,30028,179872,16.6940935776552215
Papua New Guinea,46835,10142625,0.4617640896710664
Turkey,17004677,85341248,19.9255077685294689
Cook Islands,7037,17032,41.3163457022076092
Eritrea,10189,3684041,0.2765712976592823
Venezuela,552297,28301700,1.9514622796510457
Bangladesh,2038014,171186368,1.1905235351450415
Congo,25143,5970430,0.4211254465758748
Micronesia (country),25703,114178,22.5113419397782410
Ghana,171412,33475870,0.5120464382255039
Denmark,3407804,5882259,57.9335931994833957
Romania,3367921,19659270,17.1314652069990391
Pakistan,1579245,235824864,0.6696685723520655
Singapore,2255812,5637022,40.0177966309161114
Bonaire Sint Eustatius and Saba,11811,27052,43.6603578293656661
Lesotho,34490,2305826,1.4957763508608195
Colombia,6361810,51874028,12.2639599145838453
Panama,1032939,4408582,23.4301868491955010
Cambodia,138723,16767851,0.8273153190590732
Seychelles,50937,107135,47.5446866103514258
Niger,9513,26207982,0.0362981018530919
Mauritania,63465,4736146,1.3400135891081060
Tanzania,42942,65497752,0.0655625554904541
Iran,7585422,88550568,8.5662036634254000
Chile,5255620,19603736,26.8092775785187068
Nepal,1001263,30547586,3.2777156270220501
South Africa,4070434,59893884,6.7960762070464490
Djibouti,15690,1120851,1.3998292368923256
French Polynesia,78153,306292,25.5158476225301346
Zambia,343415,20017670,1.7155593033554854
Portugal,5575030,10270857,54.2800858779359892
Guam,50982,171783,29.6781404446307260
Taiwan,NULL,23893396,NULL
Saint Pierre and Miquelon,3419,5885,58.0968564146134240
Kazakhstan,1500531,19397998,7.7354941473857251
Northern Ireland,NULL,1896000,NULL
Anguilla,3904,15877,24.5890281539333627
Costa Rica,1222661,5180836,23.5996854561696220
North Korea,NULL,26069416,NULL
Paraguay,735759,6780745,10.8507103570477875
Timor,23423,1341298,1.7462935156840613
Vanuatu,12014,326744,3.6768846558773841
Warning: Null value is eliminated by an aggregate or other SET operation.

(243 rows affected)


Completion time: 2023-07-30T21:01:06.1362803+05:00
